city,county,fixed_spelling,college
Arundel,Cecil,,
Churchville,Harford,,
Clements,St. Mary's,,
Mattawoman,Charles,,
Whiteford,Harford,,
Jarettsville,Harford,Jarrettsville,
Keymar,Carroll,,
Townsend,,,
Cardiff,Harford,,
Riverside,Harford,,
University of Maryland in College Park,Prince George's,,
Hood College in Frederick,Frederick,Frederick,Hood College
Ovealea,Baltimore County,Overlea,
Owings Mill,Baltimore County,Owings Mills,
Marriotsville,Howard,Marriottsville,Marriottsville
Lyatonsville,Montgomery,Laytonsville,
Dorsey Crossroads,Howard,Dorsey,
Craigtown,Cecil,,
Mexico,Multiple locations,,
Burnsville,,,
Ellicot City,Howard,,
Grosvenor,,,
Taylorsville,Carroll,,
Texas,,,
Gaither,Carroll,,
Mt. Airy,Frederick,,
Mt Airy,Frederick,,
Randalstown,Baltimore County,Randallstown,
Padonia,Baltimore County,Timonium,
Unionville,Multiple locations,,
Siber Spring,,,
Stevenson University in Owings Mills,Baltimore County,Owings Mills,Stevenson University
Gerrison,Baltimore County,Garrison,
Towson University,Baltimore County,Towson,Towson University
McDaniel College in Westminster,Carroll,,McDaniel College
Burnsville,Baltimore County,,
Fenby,Carroll,,
Jarretsville,Harford,Jarrettsville,
Wilson,Calvert,,
Drury,Anne Arundel,,
Ashton,Montgomery,,
Cooksville,Howard,,
Tea,,,
Dublin,Harford,,
Woodbine,Howard,,
Winfield,Carroll,,
Harrisonville,Baltimore County,,
Fairfield,Baltimore City,,
Millington,Kent,,
Baltimore,None (Independent city),,
Laurel,Prince George's,,
Columbia,Howard,,
Frederick,Frederick,,
Elkridge,Howard,,
Waldorf,Charles,,
Lexington Park,St. Mary's,,
Bel Air,Harford,,
Bethesda,Montgomery,,
Baltimore City,None (Independent city),,
Germantown,Montgomery,,
Crofton,Anne Arundel,,
Bowie,Prince George's,,
Towson,Baltimore,,
Forest Hill,Harford,,
Annapolis,Anne Arundel,,
Oxon Hill,Prince George's,,
Thurmont,Frederick,,
Cockeysville,Baltimore,,
Lisbon,Howard,,
Pikesville,Baltimore,,
Libertytown,Frederick,,
Fallston,Harford,,
Walkersville,Frederick,,
Owings Mills,Baltimore,,
Edgewood,Harford,,
Abingdon,Harford,,
Havre De Grace,Harford,,
Knoxville,Frederick,,
Middletown,Frederick,,
Hughesville,Charles,,
La Plata,Charles,,
Leonardtown,St. Mary's,,
Point of Rocks,Frederick,,
Hagerstown,Washington,,
Braddock Heights,Frederick,,
Halfway,Washington,,
Gaithersburg,Montgomery,,
Hickory,Harford,,
Bladensburg,Prince George's,,
Woodsboro,Frederick,,
Silver Spring,Montgomery,,
Rising Sun,Cecil,,
Timonium,Baltimore,,
Westminster,Carroll,,
Hunt Valley,Baltimore,,
Emmitsburg,Frederick,,
Urbana,Frederick,,
Ellicott City,Howard,,
Havre de Grace,Harford,,
College Park,Prince George's,,
Chevy Chase,Montgomery,,
Clarksburg,Montgomery,,
Sykesville,Carroll,,
Jarrettsville,Harford,,
Elkton,Cecil,,
North East,Cecil,,
White Marsh,Baltimore,,
Joppatowne,Harford,,
Eldersburg,Carroll,,
Damascus,Montgomery,,
Manchester,Carroll,,
Owings,Calvert,,
Finksburg,Carroll,,
Hampstead,Carroll,,
Laytonsville,Montgomery,,
Rockville,Montgomery,,
Union Bridge,Carroll,,
Robinwood,Washington,,
West Friendship,Howard,,
Upperco,Baltimore,,
Springdale,Prince George's,,
Cascade,Washington,,
McCoole,Allegany,,
Maugansville,Washington,,
Smithsburg,Washington,,
Melrose,Carroll,,
Davidsonville,Anne Arundel,,
Aspen Hill,Montgomery,,
Galena,Kent,,
Aberdeen,Harford,,
Easton,Talbot,,
Butler,Baltimore,,
Detour,Carroll,,
Potomac,Montgomery,,
New Market,Frederick,,
Sparks,Baltimore,,
Massey,Kent,,
Reistertown,Baltimore,,
Silver Springs,Montgomery,,
Middle River,Baltimore,,
Oakland,Garrett,,
Lutherville,Baltimore,,
Marriottsville,Howard,,
Garrison,Baltimore,,
Glen Burnie,Anne Arundel,,
Millersville,Anne Arundel,,
Cumberland,Allegany,,
Kensington,Montgomery,,
Madonna,Harford,,
Reisterstown,Baltimore,,
Colesville,Montgomery,,
White Oak,Montgomery,,
Glenmont,Montgomery,,
Wheaton-Glenmont,Montgomery,,
Greenmount,Caroll,,
Pasadena,Anne Arundel,,
Wheaton,Montgomery,,
Rose Haven,Anne Arundel,,
Dunkirk,Calvert,,
Chesapeake Beach,Calvert,,
North Beach,Calvert,,
Hereford,Baltimore,,
Brookville,Montgomery,,
Cloverly,Montgomery,,
Parkville,Baltimore,,
Lothian,Anne Arundel,,
Swanton,Garrett,,
Olney,Montgomery,,
North Kensington,Montgomery,,
Hyattsville,Prince George's,,
Takoma Park,Montgomery,,
Chillum,Prince George's,,
Adelphi,Prince George's,,
Boyds,Montgomery,,
Clayton,Harford,,
Greenbelt,Prince George's,,
Fort Washington,Prince George's,,
Marlow Heights,Prince George's,,
Suitland-Silver Hill,Prince George's,,
Temple Hills,Prince George's,,
Glenarden,Prince George's,,
Greater Landover,Prince George's,,
Phoenix,Baltimore,,
Somerset,Montgomery,,
